LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT2,BILL_AMT5,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
50000,male,graduate school,single,26,0,0,0,0,0,0,16575.0,18375.0,1500.0,1500.0,1000,1000.0,1600.0,0.0,0
230000,female,graduate school,single,27,-1,-1,-1,-1,-1,-1,17265.0,14307.0,10300.0,10401.100000000024,10000,9570.600000000013,9500.0,0.0,0
50000,male,university,single,33,2,0,0,0,0,0,29618.0,23217.0,1718.0,1500.0,1000,1000.0,1000.0,716.0,1
100000,male,graduate school,single,32,0,0,0,0,0,0,84071.0,78703.0,3023.0,3511.0,3302,3204.0,3200.0,2504.0,0
500000,female,university,married,54,-2,-2,-2,-2,-2,-2,4152.0,71439.0,4152.0,10401.100000000024,7521,9570.600000000013,981.0,9600.0,0
500000,male,graduate school,married,58,-2,-2,-2,-2,-2,-2,5006.0,0.0,5006.0,10401.100000000024,3180,0.0,5293.0,768.0,0
160000,male,graduate school,single,30,-1,-1,-2,-2,-2,-1,-131.0,-232.01,131.0,396.0,396,565.0,792.0,0.0,0
280000,male,university,married,40,0,0,0,0,0,0,136905.5000000001,115883.00000000003,8026.0,8060.0,6300,6400.0,6400.0,6737.0,0
60000,female,university,single,22,0,0,0,0,0,-1,9806.0,-232.01,1500.0,1518.0,2043,0.0,9500.0,617.0,0
50000,male,graduate school,single,25,1,-1,-1,-2,-2,-2,780.0,0.0,780.0,0.0,0,0.0,0.0,0.0,1
280000,male,graduate school,single,31,-1,-1,2,-1,0,-1,9075.0,17976.0,9075.0,0.0,9976,8000.0,9500.0,781.0,0
360000,male,graduate school,single,33,0,0,0,0,0,0,136905.5000000001,115883.00000000003,10000.0,7000.0,6000,9570.600000000013,9500.0,4000.0,0
70000,female,graduate school,single,25,0,0,0,0,0,0,66999.0,64718.0,3000.0,4500.0,4042,2500.0,2800.0,2500.0,0
10000,male,university,single,22,0,0,0,0,0,0,3184.0,3670.0,1500.0,2927.0,1000,300.0,1000.0,500.0,0
140000,female,university,married,37,0,0,0,0,0,0,61544.0,67079.0,3000.0,3000.0,3000,4000.0,4000.0,3000.0,0
40000,female,graduate school,single,30,0,0,0,2,0,0,21295.0,26636.0,3000.0,5000.0,0,2000.0,3000.0,0.0,0
210000,male,graduate school,single,29,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
20000,female,graduate school,single,22,0,0,2,-1,0,0,16484.0,16675.0,3000.0,0.0,10000,334.0,0.0,0.0,1
150000,female,others,single,46,0,0,-1,0,0,-2,3034.0,0.0,1013.0,1170.0,0,0.0,0.0,0.0,1
380000,male,university,single,32,-1,-1,-1,-1,-1,-1,21540.0,11849.0,10300.0,10401.100000000024,10000,9570.600000000013,9500.0,8251.0,0
20000,male,graduate school,single,24,0,0,0,0,0,0,18479.0,20480.0,1318.0,1315.0,704,928.0,912.0,1069.0,0
70000,male,high school,single,42,1,2,2,2,2,0,36171.0,38659.0,0.0,3100.0,2000,0.0,1500.0,1500.0,1
100000,female,high school,others,43,0,0,0,0,0,0,51163.0,35762.0,2000.0,1606.0,1500,2000.0,1500.0,1000.0,0
310000,female,university,married,49,-2,-2,-2,-2,-2,-2,7867.0,3544.0,7875.0,7600.0,10000,3544.0,464.0,0.0,0
180000,female,graduate school,single,25,1,2,0,0,0,0,41742.0,44420.0,1300.0,2010.0,1762,1762.0,1790.0,1622.0,0
150000,female,graduate school,single,29,2,0,0,0,0,0,34993.0,21042.0,1600.0,1718.0,1049,1500.0,2000.0,5000.0,0
500000,female,graduate school,married,45,-2,-2,-2,-2,-2,-2,3640.0,151.0,3640.0,162.0,0,151.0,2530.0,0.0,0
180000,female,high school,married,34,0,0,0,-1,-1,-1,15793.0,-232.01,8500.0,1500.0,7500,679.0,9000.0,2000.0,0
180000,female,university,married,34,0,0,0,0,0,0,136905.5000000001,115883.00000000003,8083.0,7296.0,5253,4814.0,4816.0,3800.0,0
200000,female,graduate school,single,34,-1,3,2,2,2,2,1098.0,700.0,0.0,0.0,700,0.0,1200.0,0.0,0
400000,female,university,married,29,0,0,0,0,0,0,136905.5000000001,115883.00000000003,10300.0,10401.100000000024,10000,9570.600000000013,9500.0,9600.0,0
500000,female,high school,married,28,0,0,0,0,0,0,23638.0,13827.0,1516.0,1300.0,1000,1000.0,2000.0,2000.0,1
70000,male,university,married,39,0,0,0,0,0,-1,72060.0,14096.0,4025.0,2095.0,1000,2000.0,3000.0,0.0,0
50000,male,graduate school,single,29,2,2,2,2,2,2,24300.0,27667.0,0.0,2700.0,0,2225.0,1200.0,0.0,1
50000,female,university,married,46,0,0,0,-2,-2,-2,29166.0,0.0,1000.0,0.0,0,0.0,0.0,0.0,1
130000,female,university,married,51,-1,-1,-2,-2,-1,-1,0.0,2353.0,0.0,0.0,0,2353.0,0.0,0.0,0
200000,male,graduate school,married,57,-2,-2,-2,-1,2,2,136905.5000000001,8198.0,0.0,0.0,8222,300.0,0.0,1000.0,1
10000,male,university,married,56,2,2,2,0,0,0,4193.0,4196.0,2300.0,0.0,150,200.0,200.0,160.0,1
210000,female,graduate school,single,30,2,-1,-1,-1,-1,-1,300.0,300.0,300.0,1159.0,2280,300.0,4250.0,909.0,0
130000,female,high school,single,29,1,-2,-2,-1,2,-1,-200.0,10161.0,0.0,0.0,10000,0.0,7319.0,9600.0,0
20000,male,others,single,22,2,0,0,0,0,0,17204.0,11205.0,0.0,1200.0,1000,500.0,1000.0,0.0,0
80000,male,graduate school,single,31,-1,-1,-1,-1,-1,-1,0.0,390.0,0.0,390.0,390,390.0,390.0,390.0,0
320000,male,university,single,29,2,2,2,2,2,2,59246.0,62307.0,2500.0,2500.0,0,4800.0,2400.0,1600.0,1
200000,female,university,married,32,-1,-1,-1,-1,2,-1,5787.0,3848.0,5818.0,15.0,9102,17.0,3165.0,1395.0,0
290000,female,graduate school,single,37,1,-2,-1,-1,-1,-1,0.0,2359.0,0.0,3155.0,0,2359.0,0.0,0.0,0
340000,male,graduate school,single,32,-1,-1,-1,-1,-1,-1,5550.0,80153.0,5713.0,10401.100000000024,4314,9570.600000000013,9500.0,2016.0,0
20000,male,university,single,24,0,0,2,0,0,0,17216.0,17332.0,2850.0,0.0,610,630.0,1500.0,0.0,0
50000,male,high school,single,25,-1,0,0,0,0,0,37225.0,9590.0,1759.0,1779.0,320,500.0,1000.0,1000.0,0
300000,female,graduate school,married,45,-1,-1,-1,-1,-1,-1,291.0,291.0,291.0,291.0,291,291.0,291.0,291.0,0
30000,female,university,single,22,0,0,0,0,0,0,29612.0,26446.0,1686.0,1400.0,560,3000.0,1765.0,0.0,1
240000,female,university,single,44,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
470000,female,high school,others,33,0,0,0,0,0,0,136905.5000000001,29271.0,6400.0,7566.0,3000,960.0,1000.0,3000.0,0
360000,female,graduate school,single,26,0,0,0,0,0,-1,27796.0,115883.00000000003,4796.0,3400.0,3100,9570.600000000013,196.0,2963.0,0
60000,male,high school,single,30,0,0,0,0,0,0,27471.0,19899.0,1576.0,1213.0,648,768.0,1140.0,0.0,1
400000,female,university,married,44,0,0,2,0,0,0,136905.5000000001,104990.0,10300.0,3.0,3050,3000.0,3200.0,2800.0,0
50000,female,high school,single,49,0,0,0,0,0,0,47863.0,19342.0,1676.0,1302.0,700,699.0,849.0,826.0,0
160000,male,university,single,33,0,0,0,0,0,0,107808.0,115883.00000000003,4400.0,3547.0,10000,4500.0,4800.0,4500.0,0
360000,female,graduate school,married,45,-1,-1,2,0,-1,-1,1170.0,390.0,1170.0,0.0,0,390.0,390.0,390.0,1
160000,female,university,single,32,0,0,0,0,0,-1,4751.0,7072.0,1147.0,2000.0,2000,0.0,766.0,2303.0,0
130000,female,graduate school,married,35,0,0,0,-1,-1,-1,117866.0,7095.0,10300.0,5000.0,1330,7095.0,1190.0,2090.0,0
20000,male,high school,single,44,2,2,0,0,0,2,8303.0,12314.0,0.0,1651.0,1000,2000.0,0.0,1500.0,0
200000,male,graduate school,married,53,2,2,2,2,2,2,136905.5000000001,115883.00000000003,6300.0,5500.0,5500,5500.0,5000.0,5000.0,1
280000,female,graduate school,single,39,-1,-1,-1,0,0,-2,0.0,0.0,0.0,3968.0,0,0.0,0.0,0.0,0
100000,female,graduate school,single,27,-2,-2,-2,-2,-2,-2,5555.0,0.0,7555.0,0.0,0,0.0,0.0,0.0,0
160000,female,university,married,37,-1,-1,-1,-1,-1,-2,1602.0,0.0,1602.0,840.0,840,0.0,0.0,7736.0,0
60000,female,university,single,23,0,0,0,0,0,0,46850.0,19209.0,1937.0,1301.0,682,690.0,816.0,835.0,0
90000,male,university,single,35,0,0,0,0,0,0,85996.0,30942.0,3621.0,3597.0,1179,1112.0,1104.0,1143.0,0
360000,male,graduate school,married,43,-1,-1,-1,-1,-1,0,8322.0,26370.0,8339.0,3394.0,10000,9570.600000000013,0.0,9600.0,0
150000,male,graduate school,single,27,0,0,0,0,0,0,86108.0,87725.0,4031.0,10006.0,3266,4040.0,1698.0,800.0,0
50000,female,high school,married,22,0,0,0,0,0,0,18160.0,8866.0,1411.0,1194.0,379,281.0,321.0,197.0,0
20000,male,university,married,38,0,0,0,0,0,-1,19367.0,17928.0,1699.0,1460.0,626,1750.0,150.0,0.0,1
140000,male,graduate school,single,32,-2,-2,-2,-2,-2,-2,10212.0,100.0,10212.0,850.0,415,100.0,1430.0,0.0,0
380000,female,graduate school,single,30,-2,-2,-1,0,0,0,-200.0,33564.0,223.0,10401.100000000024,1171,1197.0,1250.0,5000.0,0
480000,male,graduate school,married,60,0,0,0,2,2,0,136905.5000000001,115883.00000000003,10300.0,10401.100000000024,10000,0.0,9500.0,9600.0,0
50000,female,high school,single,22,0,0,0,0,0,0,42254.0,23477.0,1767.0,1362.0,1002,840.0,995.0,904.0,1
60000,female,university,single,26,2,2,2,2,2,0,55208.0,55447.0,0.0,5000.0,2511,6.0,3000.0,3000.0,0
70000,female,university,single,24,-1,-1,-2,-2,-2,-1,0.0,0.0,0.0,0.0,0,0.0,9500.0,2000.0,0
80000,female,university,married,36,-1,-1,-1,-1,-1,-1,2861.0,1150.0,2861.0,3279.0,3319,1150.0,1150.0,1035.0,0
350000,male,graduate school,single,52,-1,-1,-1,-1,-1,-1,2272.0,1150.0,2272.0,722.0,867,1150.0,5263.0,5011.0,0
130000,male,university,single,38,0,0,0,-1,-1,-1,136905.5000000001,44127.0,10300.0,0.0,10000,4566.0,9500.0,4796.0,0
360000,male,university,married,35,1,-2,-2,-2,-2,-2,-103.0,-103.0,0.0,0.0,0,0.0,0.0,0.0,0
330000,female,graduate school,married,31,0,0,2,0,0,0,108431.0,106491.0,9260.0,0.0,3593,4100.0,9500.0,0.0,0
50000,male,high school,married,47,0,0,2,0,0,0,14722.0,16671.0,2000.0,1000.0,1000,1000.0,1000.0,1000.0,0
280000,male,university,married,41,2,2,2,2,2,3,136905.5000000001,115883.00000000003,6500.0,0.0,10000,9570.600000000013,0.0,5000.0,0
100000,female,graduate school,single,24,0,0,0,0,0,0,52692.0,60100.0,2000.0,2677.0,3076,5080.0,3000.0,2033.0,0
50000,male,university,single,41,0,0,0,0,0,0,19294.0,20311.0,1340.0,1305.0,700,718.0,724.0,684.0,0
30000,male,graduate school,single,24,-1,2,0,0,3,2,17618.0,20692.0,0.0,1312.0,3000,0.0,1000.0,1000.0,1
240000,male,graduate school,single,28,-1,-1,-1,-1,-1,-1,326.0,476.0,326.0,326.0,5676,476.0,326.0,526.0,0
80000,male,university,single,26,2,0,0,0,0,0,15493.0,17629.0,2000.0,1700.0,1000,1000.0,1000.0,1000.0,1
400000,male,university,married,34,-1,-1,-1,-1,-1,-1,9666.0,14837.0,9677.0,10401.100000000024,7839,9570.600000000013,7959.0,5712.0,0
240000,female,university,single,38,0,0,0,0,-1,-1,51445.0,1307.0,2000.0,3000.0,3000,1307.0,1203.0,563.0,0
50000,male,high school,single,37,2,2,2,3,2,2,45976.0,49318.0,1000.0,4035.0,1000,1400.0,2800.0,0.0,1
450000,male,graduate school,married,40,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
110000,female,graduate school,married,48,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
310000,female,university,married,35,2,0,0,0,0,0,136905.5000000001,115883.00000000003,10300.0,10401.100000000024,8407,8599.0,6833.0,5987.0,1
20000,male,graduate school,single,27,0,0,0,0,0,0,18962.0,19717.0,1404.0,1130.0,600,861.0,313.0,0.0,0
20000,male,university,single,23,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
200000,male,high school,single,52,0,0,0,0,0,0,99530.0,103146.0,3568.0,3585.0,3602,3848.0,3669.0,3784.0,0
180000,male,graduate school,married,36,0,0,0,0,0,0,116422.0,97753.0,4655.0,2690.0,2067,2142.0,2217.0,1000.0,1
50000,male,university,married,51,0,0,0,0,0,0,3899.0,6375.0,1000.0,1066.0,1300,1500.0,1200.0,134.0,1
60000,male,high school,married,55,3,2,2,0,0,0,61450.0,29510.0,2504.0,7.0,1200,1200.0,1100.0,1500.0,0
30000,female,graduate school,single,23,1,-2,-2,-2,-1,-1,5645.0,13744.0,5645.0,3508.0,27,9570.600000000013,5911.0,3024.0,0
240000,male,graduate school,single,41,1,-1,-1,0,0,-1,2622.0,360.0,2622.0,3301.0,0,360.0,1737.0,924.0,0
420000,male,university,married,34,0,0,0,0,0,0,136905.5000000001,115883.00000000003,9744.0,9553.0,7603,7830.0,7253.0,9600.0,0
330000,male,high school,married,46,0,0,0,0,0,0,136905.5000000001,115883.00000000003,8210.0,8095.0,8025,8175.0,8391.0,8200.0,0
30000,female,university,single,22,0,0,0,0,0,0,26145.0,17603.0,2000.0,1400.0,0,500.0,0.0,1560.0,0
240000,male,university,married,34,0,0,0,2,2,2,12035.0,14158.0,1500.0,1800.0,0,1000.0,0.0,327.0,0
150000,male,graduate school,single,27,0,0,0,0,0,0,19342.0,27200.0,2500.0,3000.0,3000,3000.0,3500.0,5000.0,0
210000,female,university,married,33,0,0,0,0,0,0,7997.0,4404.0,1500.0,1500.0,1000,500.0,2000.0,546.0,0
50000,female,high school,married,51,-1,-1,-1,-1,-2,-2,300.0,0.0,300.0,5880.0,0,0.0,0.0,0.0,1
50000,male,graduate school,single,24,0,0,0,0,0,0,50143.0,19375.0,2360.0,1700.0,1000,900.0,870.0,2130.0,0
240000,male,graduate school,single,47,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
180000,male,university,single,28,-1,-1,-1,-1,-1,-1,0.0,416.0,0.0,416.0,332,500.0,3500.0,832.0,0
50000,male,university,single,23,1,2,2,2,0,0,10833.0,19879.0,1000.0,10000.0,400,700.0,800.0,600.0,0
170000,male,university,single,29,-2,-2,-2,-2,-2,-2,10000.0,9983.0,10000.0,10000.0,10000,9570.600000000013,9500.0,9600.0,0
20000,male,graduate school,single,29,-1,-1,-1,-1,0,-1,15586.0,6702.0,10300.0,344.0,2340,4702.0,339.0,330.0,0
50000,male,graduate school,single,28,0,0,0,0,0,3,5913.0,10624.0,1000.0,1500.0,2000,1583.0,1100.0,0.0,0
170000,female,university,single,27,0,0,0,0,0,0,20313.0,17918.0,1661.0,1200.0,351,358.0,182.0,0.0,1
200000,male,graduate school,single,34,1,2,0,0,0,0,136905.5000000001,115883.00000000003,8000.0,5000.0,10000,5000.0,5000.0,8500.0,0
80000,female,university,married,23,1,2,3,2,0,0,10522.0,10123.0,1650.0,0.0,0,379.0,2091.0,1.0,0
260000,female,graduate school,married,60,1,-2,-1,-1,-1,-1,-200.0,969.0,0.0,10401.100000000024,0,969.0,1000.0,0.0,0
140000,male,university,married,32,0,0,0,0,2,0,78142.0,58319.0,3455.0,3110.0,5000,0.0,2100.0,2602.0,0
80000,male,graduate school,single,25,0,0,0,0,0,0,55744.0,41951.0,10300.0,3000.0,6000,8000.0,2000.0,9600.0,0
350000,male,graduate school,single,41,1,-1,-1,-1,-1,-2,2906.0,0.0,2906.0,1000.0,630,0.0,0.0,0.0,0
280000,female,university,married,56,0,0,0,0,0,0,136905.5000000001,115883.00000000003,8042.0,6700.0,5137,9570.600000000013,7000.0,6321.0,0
30000,female,high school,single,26,0,0,0,0,0,0,10406.0,13084.0,1700.0,1500.0,1000,1500.0,1500.0,1500.0,0
140000,male,graduate school,married,34,0,0,0,0,0,0,28049.0,47086.0,5000.0,5000.0,10000,5000.0,3000.0,5504.0,0
200000,female,graduate school,single,37,0,0,0,0,0,0,102870.0,92505.0,4000.0,3250.0,3250,3500.0,3560.0,5000.0,0
200000,female,high school,single,30,0,0,0,0,0,0,136905.5000000001,115883.00000000003,7300.0,7108.0,7680,6200.0,5000.0,4500.0,0
210000,male,high school,married,45,2,3,4,4,5,6,122904.0,115883.00000000003,10300.0,10401.100000000024,10000,9570.600000000013,9500.0,9600.0,1
50000,male,high school,married,57,3,2,0,0,0,0,12362.0,13711.0,0.0,1600.0,500,500.0,600.0,600.0,0
30000,male,graduate school,single,41,2,2,2,2,2,0,27453.0,27579.0,3500.0,0.0,2200,0.0,1200.0,1250.0,0
50000,male,university,single,27,2,-1,-1,-1,-1,2,390.0,1080.0,390.0,780.0,216,864.0,0.0,390.0,0
290000,male,high school,married,47,-1,-1,-1,-1,0,-1,396.0,396.0,396.0,396.0,792,0.0,423.0,369.0,0
250000,female,graduate school,married,34,0,0,2,0,0,0,136905.5000000001,115883.00000000003,10300.0,0.0,5469,5656.0,6811.0,3920.0,0
60000,female,university,married,46,0,0,0,0,0,0,23803.0,26655.0,3000.0,1500.0,1500,1000.0,1500.0,1500.0,0
110000,female,graduate school,single,27,0,0,0,0,0,0,104795.0,76058.0,5500.0,3900.0,3000,2900.0,3000.0,2800.0,0
370000,male,graduate school,single,50,-2,-2,-2,-2,-2,-2,15130.0,4792.0,10300.0,8204.0,10000,4792.0,9500.0,4699.0,0
100000,male,university,married,27,-1,2,2,0,0,0,96847.0,22979.0,3166.0,0.0,1330,1398.0,12.0,9600.0,0
90000,female,university,married,35,0,0,0,0,0,2,73854.0,85852.0,3500.0,3500.0,3652,9570.600000000013,4000.0,0.0,0
50000,female,university,single,22,0,0,0,0,0,0,29092.0,28318.0,1510.0,1442.0,982,1017.0,1277.0,567.0,0
270000,male,university,single,37,0,0,0,0,0,0,33397.0,26344.0,5000.0,2000.0,3000,4000.0,3000.0,2000.0,0
300000,female,graduate school,single,30,-1,-1,-1,-1,-1,-1,3280.0,2672.0,3288.0,0.0,4340,2672.0,800.0,746.0,0
50000,female,university,single,22,-1,0,0,0,0,0,15273.0,3115.0,10300.0,1000.0,149,0.0,5000.0,9600.0,0
50000,female,graduate school,single,24,1,-2,-2,-2,-2,-2,-200.0,-232.01,0.0,0.0,0,0.0,0.0,0.0,1
360000,male,graduate school,single,29,1,-2,-1,-1,-2,-2,0.0,0.0,0.0,77.0,0,0.0,0.0,0.0,0
130000,male,high school,married,56,1,2,2,2,2,3,65978.0,72796.0,3000.0,3000.0,3000,5500.0,0.0,0.0,1
80000,male,graduate school,single,30,-2,-1,0,0,0,0,100.0,1919.0,504.0,500.0,1000,500.0,3500.0,0.0,0
50000,male,university,single,30,1,2,0,0,0,2,47801.0,22877.0,0.0,1500.0,1000,2000.0,0.0,2000.0,0
20000,female,university,single,22,0,0,0,0,0,0,12622.0,14034.0,1212.0,1201.0,500,1500.0,1500.0,1000.0,0
80000,female,university,married,29,0,0,2,0,0,0,81811.0,10662.0,5800.0,1000.0,600,400.0,1000.0,0.0,0
240000,male,graduate school,single,37,-1,-1,2,0,0,-1,26578.0,26279.0,10300.0,0.0,2000,0.0,1256.0,9600.0,0
80000,female,high school,single,35,0,-1,0,0,0,0,12412.0,17770.0,10300.0,6500.0,3000,2000.0,3000.0,2000.0,0
500000,female,graduate school,married,47,0,0,0,0,0,0,110616.0,108834.0,10300.0,10401.100000000024,10000,9570.600000000013,9500.0,9600.0,0
60000,female,university,married,24,0,0,0,0,0,0,57891.0,19323.0,2500.0,1600.0,3000,1000.0,737.0,2000.0,1
20000,male,university,single,25,0,0,0,0,0,-1,11677.0,1615.0,1200.0,1593.0,601,135.0,1824.0,0.0,0
100000,female,university,married,38,1,2,0,0,2,0,13961.0,15868.0,0.0,1600.0,1500,0.0,1000.0,1500.0,1
360000,female,graduate school,single,32,1,-1,-1,-1,-1,-1,57077.0,13881.0,10300.0,5295.0,10000,9570.600000000013,9500.0,9600.0,0
200000,female,high school,single,47,2,2,2,2,2,2,136905.5000000001,115883.00000000003,8214.0,7000.0,6800,7134.0,0.0,6836.0,1
130000,female,university,married,34,1,-1,0,0,0,0,5396.0,13864.0,5396.0,5000.0,3500,501.0,1000.0,2000.0,0
20000,female,university,single,31,1,5,4,4,3,2,21087.0,20219.0,0.0,1000.0,0,0.0,760.0,0.0,0
310000,male,graduate school,single,32,0,0,0,0,0,0,62147.0,60387.0,10020.0,6031.0,10000,5028.0,5060.0,4223.0,0
60000,female,graduate school,single,27,2,0,0,0,2,0,20347.0,22499.0,1342.0,1664.0,2000,0.0,900.0,846.0,1
180000,female,graduate school,single,29,-1,-1,-1,-2,-1,0,199.0,17227.0,199.0,0.0,0,9570.600000000013,341.0,5114.0,0
180000,female,graduate school,single,24,-1,-1,2,0,0,-2,22087.0,0.0,10300.0,0.0,200,0.0,0.0,0.0,0
50000,male,university,married,36,0,0,0,0,-1,-1,18114.0,72.0,2000.0,1000.0,2000,500.0,1000.0,9600.0,0
50000,female,graduate school,single,24,1,2,2,2,2,2,37188.0,39228.0,1900.0,1400.0,1700,1532.0,1600.0,0.0,1
150000,female,university,married,34,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,116,0.0,1500.0,0.0,0
20000,female,graduate school,single,22,0,0,0,0,-1,0,19446.0,18868.0,1500.0,1032.0,541,9570.600000000013,693.0,1000.0,0
500000,female,graduate school,married,34,-2,-2,-2,-1,-1,-1,138.0,1206.0,138.0,2299.0,1251,1206.0,1151.0,9600.0,0
30000,female,high school,single,22,1,2,2,0,0,0,29256.0,1630.0,1000.0,85.0,1714,104.0,0.0,0.0,1
180000,female,graduate school,married,38,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
140000,male,graduate school,single,31,0,0,2,0,0,2,27299.0,27407.0,10300.0,0.0,3000,7800.0,0.0,2500.0,0
140000,female,graduate school,single,26,-1,0,-1,-1,-1,-1,18000.0,13506.0,10000.0,10401.100000000024,5841,9570.600000000013,487.0,7004.0,0
120000,male,university,single,26,0,0,0,0,0,0,110578.0,115883.00000000003,5000.0,5000.0,4152,5000.0,5000.0,5000.0,0
360000,female,university,married,48,0,0,0,0,0,0,136905.5000000001,115883.00000000003,9100.0,7300.0,5800,5600.0,5600.0,4100.0,0
20000,male,high school,married,43,-1,-1,0,0,0,0,20351.0,19450.0,10300.0,1305.0,1258,1459.0,3457.0,1700.0,0
100000,male,graduate school,married,47,-1,-1,-1,-1,-1,-1,1473.0,390.0,1473.0,390.0,390,390.0,0.0,2380.0,0
210000,female,university,married,41,-1,-1,-1,-1,-1,-1,1586.0,877.0,1586.0,343.0,3763,877.0,0.0,419.0,1
80000,female,university,single,24,0,0,0,0,0,0,81554.0,49509.0,3200.0,3000.0,2038,2000.0,1800.0,1800.0,1
330000,female,graduate school,married,50,-1,-1,-1,-1,-2,-2,4337.0,0.0,4345.0,2854.0,1702,0.0,1709.0,258.0,0
